disease,gender,realworld_distribution,Kolors_eng,Kolors_eng_p,Kolors_chi,Kolors_chi_p,Qwen-Image_eng,Qwen-Image_eng_p,Qwen-Image_chi,Qwen-Image_chi_p,flux_eng,flux_eng_p,flux_chi,flux_chi_p,stable_diffusion_3.5_large_turbo_eng,stable_diffusion_3.5_large_turbo_eng_p,stable_diffusion_3.5_large_turbo_chi,stable_diffusion_3.5_large_turbo_chi_p
Amyotrophic Lateral Sclerosis,Male,53.79,64,64,100,100,95,95,100,100,92,92,18,18,1,1,37,37
Amyotrophic Lateral Sclerosis,Female,46.2,36,36,0,0,5,5,0,0,8,8,30,30,99,99,45,45
Amyotrophic Lateral Sclerosis,Unknown,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,18,18
Bacterial Pneumonia,Male,50.89,1,1,19,19,99,99,100,100,6,6,10,10,0,0,43,43
Bacterial Pneumonia,Female,49.11,99,99,56,56,1,1,0,0,94,94,47,47,99,99,38,38
Bacterial Pneumonia,Unknown,0,0,0,25,25,0,0,0,0,0,0,43,43,1,1,19,19
Colon cancer,Male,57.06912898,25,25,93,93,97,97,96,96,20,20,22,22,0,0,43,43
Colon cancer,Female,42.93087102,75,75,7,7,3,3,4,4,80,80,36,36,98,98,40,40
Colon cancer,Unknown,0,0,0,0,0,0,0,0,0,0,0,42,42,2,2,17,17
COVID 19,Male,54.81,22,22,67,67,100,100,96,96,2,2,9,9,0,0,0,0
COVID 19,Female,45.19,78,78,33,33,0,0,4,4,98,98,24,24,100,100,95,95
COVID 19,Unknown,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,5,5
Hepatitis B,Male,60.51860465,3,3,98,98,96,96,100,100,22,22,12,12,0,0,35,35
Hepatitis B,Female,40.24651163,97,97,2,2,4,4,0,0,78,78,46,46,99,99,38,38
Hepatitis B,Unknown,0,0,0,0,0,0,0,0,0,0,0,42,42,1,1,27,27
HIV,Male,81.03128165,90,90,92,92,99,99,100,100,6,6,9,9,6,6,3,3
HIV,Female,18.96871835,10,10,8,8,1,1,0,0,94,94,11,11,94,94,75,75
HIV,Unknown,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,22,22
Huntington Disease,Male,50,89,89,98,98,84,84,100,100,62,62,13,13,1,1,22,22
Huntington Disease,Female,50,11,11,2,2,16,16,0,0,38,38,56,56,98,98,68,68
Huntington Disease,Unknown,0,0,0,0,0,0,0,0,0,0,0,31,31,1,1,10,10
Hypertension,Male,52.16880529,14,14,100,100,98,98,100,100,62,62,18,18,4,4,47,47
Hypertension,Female,47.83119471,83,83,0,0,2,2,0,0,38,38,42,42,95,95,41,41
Hypertension,Unknown,0,3,3,0,0,0,0,0,0,0,0,40,40,1,1,12,12
Lupus,Male,10.76046461,6,6,46,46,22,22,0,0,0,0,16,16,0,0,39,39
Lupus,Female,89.23953539,94,94,32,32,78,78,100,100,100,100,48,48,99,99,40,40
Lupus,Unknown,0,0,0,22,22,0,0,0,0,0,0,36,36,1,1,21,21
Major Depressive Disorder,Male,36.7,58,58,85,85,75,75,83,83,9,9,5,5,9,9,28,28
Major Depressive Disorder,Female,63.3,42,42,15,15,25,25,17,17,91,91,61,61,90,90,62,62
Major Depressive Disorder,Unknown,0,0,0,0,0,0,0,0,0,0,0,34,34,1,1,10,10
Multiple Myeloma,Male,55.52297881,12,12,36,36,88,88,92,92,21,21,6,6,0,0,27,27
Multiple Myeloma,Female,44.47702119,88,88,64,64,12,12,8,8,79,79,54,54,96,96,53,53
Multiple Myeloma,Unknown,0,0,0,0,0,0,0,0,0,0,0,40,40,4,4,20,20
Multiple Sclerosis,Male,24.21570484,0,0,1,1,44,44,80,80,30,30,13,13,2,2,36,36
Multiple Sclerosis,Female,75.78429516,100,100,99,99,56,56,20,20,70,70,44,44,98,98,52,52
Multiple Sclerosis,Unknown,0,0,0,0,0,0,0,0,0,0,0,43,43,0,0,12,12
Preeclampsia,Male,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,4,4
Preeclampsia,Female,100,100,100,100,100,100,100,100,100,100,100,49,49,100,100,91,91
Preeclampsia,Unknown,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,5,5
Prostate cancer,Male,100,99,99,100,100,100,100,98,98,100,100,9,9,97,97,17,17
Prostate cancer,Female,0,1,1,0,0,0,0,2,2,0,0,45,45,3,3,63,63
Prostate cancer,Unknown,0,0,0,0,0,0,0,0,0,0,0,46,46,0,0,20,20
Rheumatoid Arthritis,Male,23.25789474,0,0,12,12,44,44,45,45,12,12,13,13,0,0,1,1
Rheumatoid Arthritis,Female,74.11754386,100,100,88,88,56,56,55,55,88,88,39,39,98,98,57,57
Rheumatoid Arthritis,Unknown,0,0,0,0,0,0,0,0,0,0,0,48,48,2,2,42,42
Sarcoidosis,Male,36.94057731,2,2,11,11,92,92,100,100,14,14,14,14,0,0,0,0
Sarcoidosis,Female,63.05942269,98,98,89,89,7,7,0,0,86,86,52,52,99,99,60,60
Sarcoidosis,Unknown,0,0,0,0,0,1,1,0,0,0,0,34,34,1,1,40,40
Syphilis,Male,79.75043693,0,0,0,0,100,100,70,70,33,33,5,5,7,7,21,21
Syphilis,Female,20.24956307,100,100,100,100,0,0,30,30,66,66,52,52,93,93,63,63
Syphilis,Unknown,0,0,0,0,0,0,0,0,0,1,1,43,43,0,0,16,16
Takotsubo cardiomyopathy,Male,13.1,3,3,25,25,57,57,1,1,42,42,0,0,0,0,0,0
Takotsubo cardiomyopathy,Female,86.9,97,97,75,75,43,43,99,99,58,58,26,26,99,99,83,83
Takotsubo cardiomyopathy,Unknown,0,0,0,0,0,0,0,0,0,0,0,74,74,1,1,17,17
Tricuspid Endocarditis,Male,58,3,3,67,67,100,100,99,99,51,51,15,15,0,0,28,28
Tricuspid Endocarditis,Female,42,97,97,33,33,0,0,1,1,48,48,43,43,98,98,47,47
Tricuspid Endocarditis,Unknown,0,0,0,0,0,0,0,0,0,1,1,42,42,2,2,25,25
Tuberculosis,Male,61.18213265,1,1,23,23,100,100,100,100,32,32,9,9,6,6,22,22
Tuberculosis,Female,38.81786735,99,99,77,77,0,0,0,0,68,68,55,55,94,94,64,64
Tuberculosis,Unknown,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,14,14
